fecha,ccl
2013-09-25,9.2200
2013-09-26,9.1000
2013-09-27,9.1000
2013-09-28,9.1000
2013-09-29,9.1000
2013-09-30,9.0000
2013-10-01,8.9800
2013-10-02,9.0000
2013-10-03,9.0500
2013-10-04,9.0500
2013-10-05,9.0500
2013-10-06,9.0500
2013-10-07,9.0500
2013-10-08,9.0500
2013-10-09,9.0500
2013-10-10,9.0500
2013-10-11,9.0500
2013-10-12,9.0500
2013-10-13,9.0500
2013-10-14,9.0500
2013-10-15,9.1000
2013-10-16,9.0000
2013-10-17,9.0000
2013-10-18,9.0000
2013-10-19,9.0000
2013-10-20,9.0000
2013-10-21,9.2000
2013-10-22,9.2700
2013-10-23,9.2700
2013-10-24,9.2700
2013-10-25,9.2700
2013-10-26,9.2700
2013-10-27,9.2700
2013-10-28,9.4000
2013-10-29,9.3000
2013-10-30,9.1100
2013-10-31,9.1600
2013-11-01,9.1600
2013-11-02,9.1600
2013-11-03,9.1600
2013-11-04,9.1600
2013-11-05,9.1800
2013-11-06,9.1800
2013-11-07,9.1800
2013-11-08,9.1800
2013-11-09,9.1800
2013-11-10,9.1800
2013-11-11,9.1700
2013-11-12,9.2300
2013-11-13,9.3000
2013-11-14,9.2500
2013-11-15,9.2500
2013-11-16,9.2500
2013-11-17,9.2500
2013-11-18,9.2500
2013-11-19,9.1500
2013-11-20,9.0500
2013-11-21,8.9500
2013-11-22,8.9500
2013-11-23,8.9500
2013-11-24,8.9500
2013-11-25,8.9500
2013-11-26,8.9700
2013-11-27,8.8700
2013-11-28,8.8700
2013-11-29,8.8700
2013-11-30,8.8700
2013-12-01,8.8700
2013-12-02,8.5200
2013-12-03,8.3200
2013-12-04,8.4000
2013-12-05,8.4800
2013-12-06,8.4800
2013-12-07,8.4800
2013-12-08,8.4800
2013-12-09,8.5300
2013-12-10,8.5800
2013-12-11,8.4400
2013-12-12,8.4400
2013-12-13,8.4600
2013-12-14,8.4600
2013-12-15,8.4600
2013-12-16,8.5600
2013-12-17,8.5600
2013-12-18,8.5600
2013-12-19,8.5300
2013-12-20,8.4700
2013-12-21,8.4700
2013-12-22,8.4700
2013-12-23,8.4800
2013-12-24,8.4800
2013-12-25,8.4800
2013-12-26,8.5800
2013-12-27,8.5100
2013-12-28,8.5100
2013-12-29,8.5100
2013-12-30,8.7000
2013-12-31,8.7000
2014-01-01,8.7000
2014-01-02,8.8800
2014-01-03,8.8900
2014-01-04,8.8900
2014-01-05,8.8900
2014-01-06,9.0000
2014-01-07,9.0000
2014-01-08,9.0000
2014-01-09,9.2200
2014-01-10,9.1500
2014-01-11,9.1500
2014-01-12,9.1500
2014-01-13,9.3000
2014-01-14,9.6000
2014-01-15,9.6000
2014-01-16,9.7100
2014-01-17,9.9500
2014-01-18,9.9500
2014-01-19,9.9500
2014-01-20,9.9500
2014-01-21,10.2300
2014-01-22,10.1100
2014-01-23,10.3000
2014-01-24,11.0000
2014-01-25,11.0000
2014-01-26,11.0000
2014-01-27,11.0000
2014-01-28,10.9300
2014-01-29,10.8300
2014-01-30,11.2700
2014-01-31,11.5400
2014-02-01,11.5400
2014-02-02,11.5400
2014-02-03,12.0000
2014-02-04,12.6500
2014-02-05,12.4300
2014-02-06,12.0000
2014-02-07,11.6200
2014-02-08,11.6200
2014-02-09,11.6200
2014-02-10,10.8000
2014-02-11,10.7400
2014-02-12,10.8700
2014-02-13,10.9500
2014-02-14,10.8700
2014-02-15,10.8700
2014-02-16,10.8700
2014-02-17,10.8700
2014-02-18,10.7700
2014-02-19,10.5000
2014-02-20,10.5500
2014-02-21,10.5800
2014-02-22,10.5800
2014-02-23,10.5800
2014-02-24,10.5500
2014-02-25,10.4000
2014-02-26,10.5100
2014-02-27,10.5000
2014-02-28,10.3400
2014-03-01,10.3400
2014-03-02,10.3400
2014-03-03,10.3400
2014-03-04,10.3400
2014-03-05,10.3500
2014-03-06,10.3200
2014-03-07,10.2000
2014-03-08,10.2000
2014-03-09,10.2000
2014-03-10,10.0700
2014-03-11,10.1900
2014-03-12,10.4000
2014-03-13,10.2800
2014-03-14,10.3900
2014-03-15,10.3900
2014-03-16,10.3900
2014-03-17,10.2800
2014-03-18,10.1400
2014-03-19,10.1400
2014-03-20,10.2900
2014-03-21,10.2700
2014-03-22,10.2700
2014-03-23,10.2700
2014-03-24,10.2700
2014-03-25,10.3000
2014-03-26,10.2900
2014-03-27,10.2100
2014-03-28,10.0200
2014-03-29,10.0200
2014-03-30,10.0200
2014-03-31,10.0000
2014-04-01,10.1700
2014-04-02,10.1700
2014-04-03,10.0100
2014-04-04,9.9300
2014-04-05,9.9300
2014-04-06,9.9300
2014-04-07,9.6500
2014-04-08,9.6700
2014-04-09,9.6000
2014-04-10,9.5200
2014-04-11,9.6100
2014-04-12,9.6100
2014-04-13,9.6100
2014-04-14,9.6600
2014-04-15,9.5900
2014-04-16,9.6200
2014-04-17,9.6200
2014-04-18,9.6200
2014-04-19,9.6200
2014-04-20,9.6200
2014-04-21,9.7500
2014-04-22,9.6700
2014-04-23,9.6400
2014-04-24,9.5900
2014-04-25,9.6700
2014-04-26,9.6700
2014-04-27,9.6700
2014-04-28,9.7300
2014-04-29,10.0200
2014-04-30,10.1200
2014-05-01,10.1200
2014-05-02,10.1200
2014-05-03,10.1200
2014-05-04,10.1200
2014-05-05,9.9600
2014-05-06,9.8400
2014-05-07,9.8500
2014-05-08,9.6100
2014-05-09,9.6600
2014-05-10,9.6600
2014-05-11,9.6600
2014-05-12,9.7700
2014-05-13,9.6800
2014-05-14,9.8600
2014-05-15,10.1300
2014-05-16,10.1900
2014-05-17,10.1900
2014-05-18,10.1900
2014-05-19,10.3000
2014-05-20,10.7600
2014-05-21,10.9200
2014-05-22,10.7700
2014-05-23,10.8700
2014-05-24,10.8700
2014-05-25,10.8700
2014-05-26,10.8100
2014-05-27,10.8100
2014-05-28,11.2000
2014-05-29,11.2700
2014-05-30,11.1300
2014-05-31,11.1300
2014-06-01,11.1300
2014-06-02,10.8800
2014-06-03,10.7700
2014-06-04,10.6500
2014-06-05,10.5600
2014-06-06,10.5900
2014-06-07,10.5900
2014-06-08,10.5900
2014-06-09,10.5000
2014-06-10,10.6800
2014-06-11,10.6000
2014-06-12,10.5100
2014-06-13,10.5100
2014-06-14,10.5100
2014-06-15,10.5100
2014-06-16,10.4400
2014-06-17,10.3800
2014-06-18,10.7100
2014-06-19,10.5100
2014-06-20,10.5100
2014-06-21,10.5100
2014-06-22,10.5100
2014-06-23,10.2500
2014-06-24,10.0700
2014-06-25,10.1200
2014-06-26,10.0500
2014-06-27,10.0000
2014-06-28,10.0000
2014-06-29,10.0000
2014-06-30,10.2800
2014-07-01,10.1100
2014-07-02,10.1200
2014-07-03,10.0900
2014-07-04,10.1000
2014-07-05,10.1000
2014-07-06,10.1000
2014-07-07,10.2000
2014-07-08,10.1000
2014-07-09,10.1000
2014-07-10,10.0800
2014-07-11,9.9300
2014-07-12,9.9300
2014-07-13,9.9300
2014-07-14,9.8800
2014-07-15,10.1200
2014-07-16,10.1300
2014-07-17,10.1100
2014-07-18,10.0800
2014-07-19,10.0800
2014-07-20,10.0800
2014-07-21,9.9800
2014-07-22,9.9600
2014-07-23,9.9100
2014-07-24,9.9300
2014-07-25,9.8100
2014-07-26,9.8100
2014-07-27,9.8100
2014-07-28,9.8000
2014-07-29,10.0700
2014-07-30,10.2600
2014-07-31,10.1200
2014-08-01,10.0000
2014-08-02,10.0000
2014-08-03,10.0000
2014-08-04,10.3400
2014-08-05,10.3500
2014-08-06,10.4200
2014-08-07,10.4200
2014-08-08,10.5600
2014-08-09,10.5600
2014-08-10,10.5600
2014-08-11,10.5000
2014-08-12,10.7600
2014-08-13,11.3100
2014-08-14,11.4700
2014-08-15,11.6000
2014-08-16,11.6000
2014-08-17,11.6000
2014-08-18,11.6000
2014-08-19,11.7500
2014-08-20,11.7800
2014-08-21,12.1900
2014-08-22,12.3800
2014-08-23,12.3800
2014-08-24,12.3800
2014-08-25,12.1600
2014-08-26,12.4000
2014-08-27,12.7100
2014-08-28,12.7100
2014-08-29,12.9500
2014-08-30,12.9500
2014-08-31,12.9500
2014-09-01,12.9500
2014-09-02,12.8400
2014-09-03,12.9000
2014-09-04,12.7500
2014-09-05,12.5400
2014-09-06,12.5400
2014-09-07,12.5400
2014-09-08,12.9600
2014-09-09,13.3000
2014-09-10,13.3200
2014-09-11,13.2500
2014-09-12,13.2700
2014-09-13,13.2700
2014-09-14,13.2700
2014-09-15,13.2200
2014-09-16,13.3300
2014-09-17,13.4200
2014-09-18,13.4900
2014-09-19,13.6100
2014-09-20,13.6100
2014-09-21,13.6100
2014-09-22,13.9100
2014-09-23,14.5300
2014-09-24,14.4900
2014-09-25,14.4900
2014-09-26,14.7300
2014-09-27,14.7300
2014-09-28,14.7300
2014-09-29,14.6900
2014-09-30,14.9100
2014-10-01,15.2000
2014-10-02,14.3600
2014-10-03,13.9000
2014-10-04,13.9000
2014-10-05,13.9000
2014-10-06,15.0000
2014-10-07,14.1700
2014-10-08,14.2700
2014-10-09,13.7700
2014-10-10,13.4600
2014-10-11,13.4600
2014-10-12,13.4600
2014-10-13,13.4600
2014-10-14,13.2900
2014-10-15,13.2400
2014-10-16,13.2500
2014-10-17,13.7900
2014-10-18,13.7900
2014-10-19,13.7900
2014-10-20,13.7000
2014-10-21,14.0700
2014-10-22,13.8200
2014-10-23,13.4700
2014-10-24,13.0700
2014-10-25,13.0700
2014-10-26,13.0700
2014-10-27,13.1900
2014-10-28,13.1700
2014-10-29,12.9300
2014-10-30,13.0400
2014-10-31,13.0500
2014-11-01,13.0500
2014-11-02,13.0500
