fecha,ticker,cierre
2016-09-05,MERVAL,1070.635452
2016-09-06,ACWI,49.547710
2016-09-06,ARKK,19.530560
2016-09-06,CIBR,18.474903
2016-09-06,COPX,13.661475
2016-09-06,DIA,152.930679
2016-09-06,EEM,30.689884
2016-09-06,EFA,44.561527
2016-09-06,EWJ,41.075733
2016-09-06,EWY,48.825203
2016-09-06,EWZ,20.905876
2016-09-06,FXI,30.377388
2016-09-06,GDX,26.008247
2016-09-06,GLD,128.710007
2016-09-06,IBB,92.291809
2016-09-06,ICLN,8.132444
2016-09-06,IEMG,35.299328
2016-09-06,IEUR,31.123421
2016-09-06,IJH,27.167173
2016-09-06,ILF,18.067459
2016-09-06,ITA,59.518883
2016-09-06,IVE,77.884979
2016-09-06,IVV,186.427216
2016-09-06,IVW,27.854012
2016-09-06,IWM,109.952744
2016-09-06,MERVAL,1080.743692
2016-09-06,MUB,88.295448
2016-09-06,PSQ,194.967621
2016-09-06,QQQ,109.970169
2016-09-06,RSP,71.114006
2016-09-06,SH,123.503319
2016-09-06,SLV,19.049999
2016-09-06,SMH,30.404011
2016-09-06,SPHQ,22.028126
2016-09-06,SPXL,22.669884
2016-09-06,SPY,186.572647
2016-09-06,TQQQ,2.492328
2016-09-06,URA,10.101235
2016-09-06,USO,83.120003
2016-09-06,VEA,28.281525
2016-09-06,VIG,70.909889
2016-09-06,XLB,20.122156
2016-09-06,XLE,23.356745
2016-09-06,XLF,16.559742
2016-09-06,XLI,49.472038
2016-09-06,XLK,21.419884
2016-09-06,XLP,42.006016
2016-09-06,XLRE,24.070494
2016-09-06,XLU,18.280729
2016-09-06,XLV,61.672424
2016-09-06,XLY,36.514050
2016-09-06,XME,23.932438
2016-09-07,ACWI,49.539394
2016-09-07,ARKK,19.630201
2016-09-07,CIBR,18.456800
2016-09-07,COPX,13.653262
2016-09-07,DIA,152.930679
2016-09-07,EEM,30.593510
2016-09-07,EFA,44.583881
2016-09-07,EWJ,41.272423
2016-09-07,EWY,48.866604
2016-09-07,EWZ,20.893919
2016-09-07,FXI,30.369532
2016-09-07,GDX,25.863157
2016-09-07,GLD,128.270004
2016-09-07,IBB,92.944832
2016-09-07,ICLN,8.106977
2016-09-07,IEMG,35.245949
2016-09-07,IEUR,31.130816
2016-09-07,IJH,27.258533
2016-09-07,ILF,17.962845
2016-09-07,ITA,59.410301
2016-09-07,IVE,77.909195
2016-09-07,IVV,186.393417
2016-09-07,IVW,27.838123
2016-09-07,IWM,110.640862
2016-09-07,MERVAL,1081.962865
2016-09-07,MUB,88.295448
2016-09-07,PSQ,194.886612
2016-09-07,QQQ,110.035469
2016-09-07,RSP,71.316338
2016-09-07,SH,123.470711
2016-09-07,SLV,18.780001
2016-09-07,SMH,30.203594
2016-09-07,SPHQ,22.019524
2016-09-07,SPXL,22.665348
2016-09-07,SPY,186.555634
2016-09-07,TQQQ,2.496885
2016-09-07,URA,10.029391
2016-09-07,USO,84.160004
2016-09-07,VEA,28.281525
2016-09-07,VIG,70.678154
2016-09-07,XLB,20.093491
2016-09-07,XLE,23.489988
2016-09-07,XLF,16.552986
2016-09-07,XLI,49.530972
2016-09-07,XLK,21.473892
2016-09-07,XLP,41.639019
2016-09-07,XLRE,24.190517
2016-09-07,XLU,18.284370
2016-09-07,XLV,61.672424
2016-09-07,XLY,36.532066
2016-09-07,XME,23.808796
2016-09-08,ACWI,49.406448
2016-09-08,ARKK,19.632046
2016-09-08,CIBR,18.427265
2016-09-08,COPX,13.645048
2016-09-08,DIA,152.518082
2016-09-08,EEM,30.513189
2016-09-08,EFA,44.457253
2016-09-08,EWJ,41.075733
2016-09-08,EWY,48.303589
2016-09-08,EWZ,20.977591
2016-09-08,FXI,30.660257
2016-09-08,GDX,25.300913
2016-09-08,GLD,127.589996
2016-09-08,IBB,93.571815
2016-09-08,ICLN,8.183378
2016-09-08,IEMG,35.116314
2016-09-08,IEUR,31.145576
2016-09-08,IJH,27.141312
2016-09-08,ILF,17.901306
2016-09-08,ITA,59.279091
2016-09-08,IVE,77.957611
2016-09-08,IVV,185.953506
2016-09-08,IVW,27.686033
2016-09-08,IWM,110.420341
2016-09-08,MERVAL,1087.772637
2016-09-08,MUB,88.178551
2016-09-08,PSQ,195.899384
2016-09-08,QQQ,109.391594
2016-09-08,RSP,71.198311
2016-09-08,SH,123.764290
2016-09-08,SLV,18.620001
2016-09-08,SMH,30.144379
2016-09-08,SPHQ,21.933510
2016-09-08,SPXL,22.497675
